pokedex_number,name,type1,type2,abilities,classification,capture_rate,experience_growth,percentage_male,height_m,weight_kg,base_happiness,base_egg_steps,generation,is_legendary,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
215,Sneasel,dark,ice,"['Inner Focus', 'Keen Eye', 'Pickpocket']",Sharp Claw Pokémon,60,1059860,50.0,0.9,28.0,35.0,5120,2,0,430,55,95,55,35,75,115,2.0,0.5,1.0,1.0,2.0,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0
216,Teddiursa,normal,,"['Pickup', 'Quick Feet', 'Honey Gather']",Little Bear Pokémon,120,1000000,50.0,0.6,8.8,70.0,5120,2,0,330,60,80,50,50,50,40,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
217,Ursaring,normal,,"['Guts', 'Quick Feet', 'Unnerve']",Hibernator Pokémon,60,1000000,50.0,1.8,125.8,70.0,5120,2,0,500,90,130,75,75,75,55,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
218,Slugma,fire,,"['Magma Armor', 'Flame Body', 'Weak Armor']",Lava Pokémon,190,1000000,50.0,0.7,35.0,70.0,5120,2,0,250,40,40,40,70,40,20,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
219,Magcargo,fire,rock,"['Magma Armor', 'Flame Body', 'Weak Armor']",Lava Pokémon,75,1000000,50.0,0.8,55.0,70.0,5120,2,0,430,60,50,120,90,80,30,0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0
220,Swinub,ice,ground,"['Oblivious', 'Snow Cloak', 'Thick Fat']",Pig Pokémon,225,1250000,50.0,0.4,6.5,70.0,5120,2,0,250,50,50,40,30,30,50,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0
221,Piloswine,ice,ground,"['Oblivious', 'Snow Cloak', 'Thick Fat']",Swine Pokémon,75,1250000,50.0,1.1,55.8,70.0,5120,2,0,450,100,100,80,60,60,50,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0
222,Corsola,water,rock,"['Hustle', 'Natural Cure', 'Regenerator']",Coral Pokémon,60,800000,24.6,0.6,5.0,70.0,5120,2,0,410,65,55,95,65,95,35,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
223,Remoraid,water,,"['Hustle', 'Sniper', 'Moody']",Jet Pokémon,190,1000000,50.0,0.6,12.0,70.0,5120,2,0,300,35,65,35,65,35,65,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
224,Octillery,water,,"['Suction Cups', 'Sniper', 'Moody']",Jet Pokémon,75,1000000,50.0,0.9,28.5,70.0,5120,2,0,480,75,105,75,105,75,45,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
225,Delibird,ice,flying,"['Vital Spirit', 'Hustle', 'Insomnia']",Delivery Pokémon,45,800000,50.0,0.9,16.0,70.0,5120,2,0,330,45,55,45,65,45,75,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0
226,Mantine,water,flying,"['Swift Swim', 'Water Absorb', 'Water Veil']",Kite Pokémon,25,1250000,50.0,2.1,220.0,70.0,6400,2,0,485,85,40,70,80,140,70,0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
227,Skarmory,steel,flying,"['Keen Eye', 'Sturdy', 'Weak Armor']",Armor Bird Pokémon,25,1250000,50.0,1.7,50.5,70.0,6400,2,0,465,65,80,140,40,70,70,0.25,1.0,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.25,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0
228,Houndour,dark,fire,"['Early Bird', 'Flash Fire', 'Unnerve']",Dark Pokémon,120,1250000,50.0,0.6,10.8,35.0,5120,2,0,330,45,60,30,80,50,65,1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0
229,Houndoom,dark,fire,"['Early Bird', 'Flash Fire', 'Unnerve']",Dark Pokémon,45,1250000,50.0,1.4,35.0,35.0,5120,2,0,600,75,90,90,140,90,115,1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0
230,Kingdra,water,dragon,"['Swift Swim', 'Sniper', 'Damp']",Dragon Pokémon,45,1000000,50.0,1.8,152.0,70.0,5120,2,0,540,75,95,95,95,95,85,1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25
231,Phanpy,ground,,"['Pickup', 'Sand Veil']",Long Nose Pokémon,120,1000000,50.0,0.5,33.5,70.0,5120,2,0,330,90,60,60,40,40,40,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
232,Donphan,ground,,"['Sturdy', 'Sand Veil']",Armor Pokémon,60,1000000,50.0,1.1,120.0,70.0,5120,2,0,500,90,120,120,60,60,50,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
233,Porygon2,normal,,"['Trace', 'Download', 'Analytic']",Virtual Pokémon,45,1000000,,0.6,32.5,70.0,5120,2,0,515,85,80,90,105,95,60,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
234,Stantler,normal,,"['Intimidate', 'Frisk', 'Sap Sipper']",Big Horn Pokémon,45,1250000,50.0,1.4,71.2,70.0,5120,2,0,465,73,95,62,85,65,85,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
235,Smeargle,normal,,"['Own Tempo', 'Technician', 'Moody']",Painter Pokémon,45,800000,50.0,1.2,58.0,70.0,5120,2,0,250,55,20,35,20,45,75,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
236,Tyrogue,fighting,,"['Guts', 'Steadfast', 'Vital Spirit']",Scuffle Pokémon,75,1000000,100.0,0.7,21.0,70.0,6400,2,0,210,35,35,35,35,35,35,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
237,Hitmontop,fighting,,"['Intimidate', 'Technician', 'Steadfast']",Handstand Pokémon,45,1000000,100.0,1.4,48.0,70.0,6400,2,0,455,50,95,95,35,110,70,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
238,Smoochum,ice,psychic,"['Oblivious', 'Forewarn', 'Hydration']",Kiss Pokémon,45,1000000,0.0,0.4,6.0,70.0,6400,2,0,305,45,30,15,85,65,65,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0
239,Elekid,electric,,"['Static', 'Vital Spirit']",Electric Pokémon,45,1000000,75.4,0.6,23.5,70.0,6400,2,0,360,45,63,37,65,55,95,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
240,Magby,fire,,"['Flame Body', 'Vital Spirit']",Live Coal Pokémon,45,1000000,75.4,0.7,21.4,70.0,6400,2,0,365,45,75,37,70,55,83,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
241,Miltank,normal,,"['Thick Fat', 'Scrappy', 'Sap Sipper']",Milk Cow Pokémon,45,1250000,0.0,1.2,75.5,70.0,5120,2,0,490,95,80,105,40,70,100,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
242,Blissey,normal,,"['Natural Cure', 'Serene Grace', 'Healer']",Happiness Pokémon,30,800000,0.0,1.5,46.8,140.0,10240,2,0,540,255,10,10,75,135,55,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
243,Raikou,electric,,"['Pressure', 'Inner Focus']",Thunder Pokémon,3,1250000,,1.9,178.0,35.0,20480,2,1,580,90,85,75,115,100,115,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
244,Entei,fire,,"['Pressure', 'Inner Focus']",Volcano Pokémon,3,1250000,,2.1,198.0,35.0,20480,2,1,580,115,115,85,90,75,100,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
245,Suicune,water,,"['Pressure', 'Inner Focus']",Aurora Pokémon,3,1250000,,2.0,187.0,35.0,20480,2,1,580,100,75,115,90,115,85,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
246,Larvitar,rock,ground,"['Guts', 'Sand Veil']",Rock Skin Pokémon,45,1250000,50.0,0.6,72.0,35.0,10240,2,0,300,50,64,50,45,50,41,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
247,Pupitar,rock,ground,['Shed Skin'],Hard Shell Pokémon,45,1250000,50.0,1.2,152.0,35.0,10240,2,0,410,70,84,70,65,70,51,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
248,Tyranitar,rock,dark,"['Sand Stream', 'Unnerve']",Armor Pokémon,45,1250000,50.0,2.0,202.0,35.0,10240,2,0,700,100,164,150,95,120,71,2.0,0.5,1.0,1.0,2.0,4.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,0.5,0.0,1.0,2.0,2.0
249,Lugia,psychic,flying,"['Pressure', 'Multiscale']",Diving Pokémon,3,1250000,,5.2,216.0,0.0,30720,2,1,680,106,90,130,90,154,110,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
250,Ho-Oh,fire,flying,"['Pressure', 'Regenerator']",Rainbow Pokémon,3,1250000,,3.8,199.0,0.0,30720,2,1,680,106,130,90,110,154,90,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
251,Celebi,psychic,grass,['Natural Cure'],Time Travel Pokémon,45,1059860,,0.6,5.0,100.0,30720,2,1,600,100,100,100,100,100,100,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
252,Treecko,grass,,"['Overgrow', 'Unburden']",Wood Gecko Pokémon,45,1059860,88.1,0.5,5.0,70.0,5120,3,0,310,40,45,35,65,55,70,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
253,Grovyle,grass,,"['Overgrow', 'Unburden']",Wood Gecko Pokémon,45,1059860,88.1,0.9,21.6,70.0,5120,3,0,405,50,65,45,85,65,95,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
254,Sceptile,grass,,"['Overgrow', 'Unburden']",Forest Pokémon,45,1059860,88.1,1.7,52.2,70.0,5120,3,0,630,70,110,75,145,85,145,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
255,Torchic,fire,,"['Blaze', 'Speed Boost']",Chick Pokémon,45,1059860,88.1,0.4,2.5,70.0,5120,3,0,310,45,60,40,70,50,45,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
256,Combusken,fire,fighting,"['Blaze', 'Speed Boost']",Young Fowl Pokémon,45,1059860,88.1,0.9,19.5,70.0,5120,3,0,405,60,85,60,85,60,55,0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0
257,Blaziken,fire,fighting,"['Blaze', 'Speed Boost']",Blaze Pokémon,45,1059860,88.1,1.9,52.0,70.0,5120,3,0,630,80,160,80,130,80,100,0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0
258,Mudkip,water,,"['Torrent', 'Damp']",Mud Fish Pokémon,45,1059860,88.1,0.4,7.6,70.0,5120,3,0,310,50,70,50,50,50,40,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
259,Marshtomp,water,ground,"['Torrent', 'Damp']",Mud Fish Pokémon,45,1059860,88.1,0.7,28.0,70.0,5120,3,0,405,70,85,70,60,70,50,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
260,Swampert,water,ground,"['Torrent', 'Damp']",Mud Fish Pokémon,45,1059860,88.1,1.5,81.9,70.0,5120,3,0,635,100,150,110,95,110,70,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
261,Poochyena,dark,,"['Run Away', 'Quick Feet', 'Rattled']",Bite Pokémon,255,1000000,50.0,0.5,13.6,70.0,3840,3,0,220,35,55,35,30,30,35,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
262,Mightyena,dark,,"['Intimidate', 'Quick Feet', 'Moxie']",Bite Pokémon,127,1000000,50.0,1.0,37.0,70.0,3840,3,0,420,70,90,70,60,60,70,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
263,Zigzagoon,normal,,"['Pickup', 'Gluttony', 'Quick Feet']",Tiny Racoon Pokémon,255,1000000,50.0,0.4,17.5,70.0,3840,3,0,240,38,30,41,30,41,60,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
264,Linoone,normal,,"['Pickup', 'Gluttony', 'Quick Feet']",Rush Pokémon,90,1000000,50.0,0.5,32.5,70.0,3840,3,0,420,78,70,61,50,61,100,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
265,Wurmple,bug,,"['Shield Dust', 'Run Away']",Worm Pokémon,255,1000000,50.0,0.3,3.6,70.0,3840,3,0,195,45,45,35,20,30,20,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
266,Silcoon,bug,,['Shed Skin'],Cocoon Pokémon,120,1000000,50.0,0.6,10.0,70.0,3840,3,0,205,50,35,55,25,25,15,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
267,Beautifly,bug,flying,"['Swarm', 'Rivalry']",Butterfly Pokémon,45,1000000,50.0,1.0,28.4,70.0,3840,3,0,395,60,70,50,100,50,65,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
268,Cascoon,bug,,['Shed Skin'],Cocoon Pokémon,120,1000000,50.0,0.7,11.5,70.0,3840,3,0,205,50,35,55,25,25,15,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
269,Dustox,bug,poison,"['Shield Dust', 'Compoundeyes']",Poison Moth Pokémon,45,1000000,50.0,1.2,31.6,70.0,3840,3,0,385,60,50,70,50,90,65,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
270,Lotad,water,grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",Water Weed Pokémon,255,1059860,50.0,0.5,2.6,70.0,3840,3,0,220,40,30,30,40,50,30,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25
271,Lombre,water,grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",Jolly Pokémon,120,1059860,50.0,1.2,32.5,70.0,3840,3,0,340,60,50,50,60,70,50,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25
272,Ludicolo,water,grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",Carefree Pokémon,45,1059860,50.0,1.5,55.0,70.0,3840,3,0,480,80,70,70,90,100,70,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25
273,Seedot,grass,,"['Chlorophyll', 'Early Bird', 'Pickpocket']",Acorn Pokémon,255,1059860,50.0,0.5,4.0,70.0,3840,3,0,220,40,40,50,30,30,30,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
274,Nuzleaf,grass,dark,"['Chlorophyll', 'Early Bird', 'Pickpocket']",Wily Pokémon,120,1059860,50.0,1.0,28.0,70.0,3840,3,0,340,70,70,40,60,40,60,4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5
275,Shiftry,grass,dark,"['Chlorophyll', 'Early Bird', 'Pickpocket']",Wickid Pokémon,45,1059860,50.0,1.3,59.6,70.0,3840,3,0,480,90,100,60,90,60,80,4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5
276,Taillow,normal,flying,"['Guts', 'Scrappy']",TinySwallow Pokémon,200,1059860,50.0,0.3,2.3,70.0,3840,3,0,270,40,55,30,30,30,85,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
277,Swellow,normal,flying,"['Guts', 'Scrappy']",Swallow Pokémon,45,1059860,50.0,0.7,19.8,70.0,3840,3,0,455,60,85,60,75,50,125,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
278,Wingull,water,flying,"['Keen Eye', 'Hydration', 'Rain Dish']",Seagull Pokémon,190,1000000,50.0,0.6,9.5,70.0,5120,3,0,270,40,30,30,55,30,85,0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
279,Pelipper,water,flying,"['Keen Eye', 'Drizzle', 'Rain Dish']",Water Bird Pokémon,45,1000000,50.0,1.2,28.0,70.0,5120,3,0,440,60,50,100,95,70,65,0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
280,Ralts,psychic,fairy,"['Synchronize', 'Trace', 'Telepathy']",Feeling Pokémon,235,1250000,50.0,0.4,6.6,35.0,5120,3,0,198,28,25,25,45,35,40,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
281,Kirlia,psychic,fairy,"['Synchronize', 'Trace', 'Telepathy']",Emotion Pokémon,120,1250000,50.0,0.8,20.2,35.0,5120,3,0,278,38,35,35,65,55,50,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
282,Gardevoir,psychic,fairy,"['Synchronize', 'Trace', 'Telepathy']",Embrace Pokémon,45,1250000,50.0,1.6,48.4,35.0,5120,3,0,618,68,85,65,165,135,100,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
283,Surskit,bug,water,"['Swift Swim', 'Rain Dish']",Pond Skater Pokémon,200,1000000,50.0,0.5,1.7,70.0,3840,3,0,269,40,30,32,50,52,65,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5
284,Masquerain,bug,flying,"['Intimidate', 'Unnerve']",Eyeball Pokémon,75,1000000,50.0,0.8,3.6,70.0,3840,3,0,454,70,60,62,100,82,80,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
285,Shroomish,grass,,"['Effect Spore', 'Poison Heal', 'Quick Feet']",Mushroom Pokémon,255,1640000,50.0,0.4,4.5,70.0,3840,3,0,295,60,40,60,40,60,35,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
286,Breloom,grass,fighting,"['Effect Spore', 'Poison Heal', 'Technician']",Mushroom Pokémon,90,1640000,50.0,1.2,39.2,70.0,3840,3,0,460,60,130,80,60,60,70,1.0,0.5,1.0,0.5,2.0,1.0,2.0,4.0,1.0,0.5,0.5,2.0,1.0,2.0,2.0,0.5,1.0,0.5
287,Slakoth,normal,,['Truant'],Slacker Pokémon,255,1250000,50.0,0.8,24.0,70.0,3840,3,0,280,60,60,60,35,35,30,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
288,Vigoroth,normal,,['Vital Spirit'],Wild Monkey Pokémon,120,1250000,50.0,1.4,46.5,70.0,3840,3,0,440,80,80,80,55,55,90,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
289,Slaking,normal,,['Truant'],Lazy Pokémon,45,1250000,50.0,2.0,130.5,70.0,3840,3,0,670,150,160,100,95,65,100,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
290,Nincada,bug,ground,"['Compoundeyes', 'Run Away']",Trainee Pokémon,255,600000,50.0,0.5,5.5,70.0,3840,3,0,266,31,45,90,30,30,40,1.0,1.0,1.0,0.0,1.0,0.5,2.0,2.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,2.0
291,Ninjask,bug,flying,"['Speed Boost', 'Infiltrator']",Ninja Pokémon,120,600000,50.0,0.8,12.0,70.0,3840,3,0,456,61,90,45,50,50,160,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
292,Shedinja,bug,ghost,['Wonder Guard'],Shed Pokémon,45,600000,,0.8,1.2,70.0,3840,3,0,236,1,90,45,30,30,40,0.5,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.5,0.5,1.0,0.0,0.5,1.0,2.0,1.0,1.0
293,Whismur,normal,,"['Soundproof', 'Rattled']",Whisper Pokémon,190,1059860,50.0,0.6,16.3,70.0,5120,3,0,240,64,51,23,51,23,28,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
294,Loudred,normal,,"['Soundproof', 'Scrappy']",Big Voice Pokémon,120,1059860,50.0,1.0,40.5,70.0,5120,3,0,360,84,71,43,71,43,48,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
295,Exploud,normal,,"['Soundproof', 'Scrappy']",Loud Noise Pokémon,45,1059860,50.0,1.5,84.0,70.0,5120,3,0,490,104,91,63,91,73,68,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
296,Makuhita,fighting,,"['Thick Fat', 'Guts', 'Sheer Force']",Guts Pokémon,180,1640000,75.4,1.0,86.4,70.0,5120,3,0,237,72,60,30,20,30,25,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
297,Hariyama,fighting,,"['Thick Fat', 'Guts', 'Sheer Force']",Arm Thrust Pokémon,200,1640000,75.4,2.3,253.8,70.0,5120,3,0,474,144,120,60,40,60,50,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
298,Azurill,normal,fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",Polka Dot Pokémon,150,800000,24.6,0.2,2.0,70.0,2560,3,0,190,50,20,40,20,40,20,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
299,Nosepass,rock,,"['Sturdy', 'Magnet Pull', 'Sand Force']",Compass Pokémon,255,1000000,50.0,1.0,97.0,70.0,5120,3,0,375,30,45,135,45,90,30,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0
300,Skitty,normal,,"['Cute Charm', 'Normalize', 'Wonder Skin ']",Kitten Pokémon,255,800000,24.6,0.6,11.0,70.0,3840,3,0,260,50,45,45,35,35,50,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
301,Delcatty,normal,,"['Cute Charm', 'Normalize', 'Wonder Skin ']",Prim Pokémon,60,800000,24.6,1.1,32.6,70.0,3840,3,0,400,70,65,65,55,55,90,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
